      ujd      | seeing_new | ub1_zp_new | lmt_mg_new | ccdid | good_pix_area |   ra_ul   |  dec_ul  |   ra_ur   |  dec_ur  |   ra_lr   |  dec_lr  |   ra_ll   |  dec_ll  
 2455206.00056 |          2 |       27.9 |     21.255 |     9 |      0.658744 | 213.94743 | 54.72064 | 213.91887 | 53.56934 | 212.95054 | 53.57363 | 212.95174 | 54.72508
 2455206.00056 |        2.4 |       27.6 |     20.838 |     6 |      0.658055 | 210.90927 | 54.70394 | 210.96405 | 53.55456 | 209.99849 | 53.53564 | 209.91653 | 54.68449
 2455206.00056 |        2.1 |       27.9 |     21.125 |     8 |      0.657813 | 212.93517 | 54.72443 | 212.93362 | 53.57319 | 211.96455 | 53.56965 | 211.93871 | 54.72076
 2455206.00056 |        2.1 |       27.9 |     21.122 |     5 |       0.64927 | 216.06472 |  55.8491 | 215.97732 |  54.7001 | 214.98441 | 54.72143 | 215.04258 | 55.87099
 2455206.00056 |          2 |       28.1 |     21.098 |     4 |      0.658182 | 215.02221 | 55.86946 | 214.96531 | 54.71914 | 213.96933 |  54.7315 | 213.99699 | 55.88217
 2455208.90534 |        2.9 |       28.1 |      20.63 |     4 |      0.660255 | 215.02163 | 55.86704 | 214.96423 | 54.71668 | 213.96803 | 54.72929 | 213.99618 | 55.88001
 2455208.90534 |        2.9 |         28 |     20.796 |     0 |      0.657768 | 210.83887 | 55.86381 | 210.90449 | 54.71448 | 209.91148 | 54.69157 | 209.81693 | 55.84022
 2455208.90534 |        3.4 |       27.8 |     20.526 |     1 |      0.660066 | 211.88424 | 55.87673 | 211.91599 | 54.72573 | 210.92082 | 54.71222 | 210.85993 | 55.86289
 2455208.90534 |        3.4 |         28 |     20.656 |    11 |      0.659528 | 215.97513 | 54.68634 | 215.89386 | 53.53721 | 214.92741 | 53.55607 | 214.98162 | 54.70576
 2455208.90534 |          3 |       27.6 |     20.598 |    10 |      0.660249 | 214.96382 | 54.70703 | 214.90866 | 53.55708 |  213.9404 | 53.56828 | 213.96847 | 54.71857
 2455208.90534 |        2.9 |       27.9 |     20.834 |     9 |      0.660196 | 213.94609 | 54.71845 | 213.91698 | 53.56715 | 212.94843 | 53.57169 | 212.95017 | 54.72314
 2455208.90534 |          3 |       27.9 |     20.718 |     8 |      0.659663 | 212.93353 | 54.72255 | 212.93146 | 53.57125 | 211.96226 | 53.56794 | 211.93687 | 54.71911
 2455208.90534 |        3.3 |       27.6 |     20.448 |     7 |      0.659509 | 211.92043 | 54.71724 | 211.94564 | 53.56639 | 210.97743 | 53.55569 | 210.92499 | 54.70623
 2455208.90534 |          3 |       27.5 |     20.431 |     6 |        0.6591 | 210.90718 | 54.70244 | 210.96145 | 53.55309 | 209.99561 | 53.53447 | 209.91416 | 54.68328
 2455208.90534 |        3.2 |       27.9 |      20.58 |     5 |       0.65131 | 216.06444 | 55.84636 | 215.97655 |  54.6974 | 214.98338 | 54.71896 | 215.04203 |  55.8685
 2455208.90534 |        3.1 |       27.6 |     20.604 |     2 |      0.660007 | 212.92734 | 55.88278 |  212.9313 | 54.73138 | 211.93332 | 54.72581 | 211.90001 | 55.87702
 2455208.95074 |        2.6 |       27.1 |     19.176 |     0 |      0.657234 |  210.8396 | 55.86471 | 210.90562 | 54.71545 | 209.91282 | 54.69252 | 209.81788 |  55.8411
 2455208.95074 |        2.7 |       26.9 |     19.028 |     7 |      0.658844 | 211.92144 | 54.71845 | 211.94683 | 53.56767 | 210.97866 |  53.5568 | 210.92604 | 54.70727
 2455208.95074 |        2.5 |       27.7 |     20.422 |     5 |      0.651147 | 216.06428 | 55.84816 | 215.97659 | 54.69924 | 214.98359 |  54.7206 | 215.04205 |  55.8701
 2455208.95074 |        2.6 |       26.8 |     19.332 |     6 |      0.658529 | 210.90836 |  54.7036 | 210.96269 | 53.55414 | 209.99692 |  53.5353 | 209.91542 | 54.68422
 2455208.95074 |        2.8 |       27.5 |     19.564 |    11 |      0.659491 | 215.97508 | 54.68811 | 215.89402 |   53.539 | 214.92792 | 53.55776 | 214.98193 | 54.70742
 2455208.95074 |        2.6 |       27.2 |     19.713 |     2 |       0.65944 | 212.92779 | 55.88409 | 212.93195 | 54.73272 | 211.93418 |   54.727 | 211.90068 | 55.87818
 2455208.95074 |        2.4 |       27.2 |     19.945 |    10 |       0.65967 | 214.96405 | 54.70867 | 214.90913 | 53.55873 | 213.94122 | 53.56982 | 213.96906 | 54.72011
 2455208.95074 |        2.8 |       27.2 |     18.832 |     1 |      0.659412 | 211.88464 | 55.87773 | 211.91685 | 54.72687 | 210.92198 | 54.71343 | 210.86065 | 55.86396
 2455208.95074 |        2.3 |       27.5 |       20.2 |     9 |      0.659433 | 213.94653 | 54.71992 | 213.91782 |  53.5687 | 212.94951 | 53.57304 | 212.95091 | 54.72443
 2455208.95074 |        2.3 |       27.9 |     20.151 |     4 |      0.659683 | 215.02162 |  55.8686 | 214.96447 | 54.71837 | 213.96851 | 54.73084 | 213.99642 | 55.88143
 2455208.95074 |        2.4 |       27.5 |     19.692 |     8 |      0.658863 | 212.93428 | 54.72385 | 212.93256 | 53.57259 | 211.96345 | 53.56918 | 211.93776 | 54.72031
 2455211.90867 |        4.2 |       27.9 |     20.168 |     8 |      0.659316 | 212.93396 | 54.72263 | 212.93172 |  53.5716 | 211.96236 | 53.56851 | 211.93731 | 54.71949
 2455211.90867 |        4.5 |       27.8 |     19.953 |     1 |      0.659766 | 211.88423 | 55.87666 | 211.91571 | 54.72589 | 210.92106 |  54.7128 | 210.86047 | 55.86323
 2455211.90867 |        4.2 |         28 |     20.105 |     0 |      0.657494 | 210.83904 | 55.86367 | 210.90452 |  54.7148 | 209.91182 | 54.69216 | 209.81742 | 55.84036
 2455211.90867 |        4.1 |       27.9 |      20.24 |     9 |      0.659901 | 213.94638 | 54.71873 |   213.917 |  53.5677 | 212.94872 | 53.57235 | 212.95081 | 54.72355
 2455211.90867 |        4.2 |       27.6 |     19.915 |    10 |      0.660168 | 214.96406 | 54.70721 | 214.90866 | 53.55759 | 213.94066 | 53.56891 |   213.969 | 54.71888
 2455211.90867 |        4.5 |       27.8 |     20.059 |     7 |      0.659201 | 211.92061 | 54.71759 | 211.94557 | 53.56679 | 210.97773 | 53.55617 | 210.92554 | 54.70667
